管理番号,取引日,品名,ブランド,品目区分,特徴（色・サイズ・状態等）,数量,仕入れ価格（円）,仕入れ先区分,仕入れ先（プラットフォーム）,取引ID,販売予定価格（円）,備考
T001,2026/5/8,KAPLA 木製積み木セット 収納ボックス付き,KAPLA（カプラ）,おもちゃ（木製積み木）,木製・188ピース（本来200ピース・印字品1点欠品）・収納ボックス付き（ボックスにはがれあり）・多少使用感あり,1,3800,個人,メルカリ,m89159370528,,
T002,2026/5/8,木製知育玩具5点セット（ラトル・スターコマ他）,HEIMESS / Milky Toy / エド・インター / ナカムラ工房,おもちゃ（木製知育玩具）,①スターコマ ハイメス ②どうぶつラトル かたつむり ③ボンボンラトル ④エッグトーストのラトル ⑤はじめてのつみき / ユーズド品・細かなダメージ・剥げあり,5点セット,1100,個人,メルカリ,m98122724970,,
T003,2026/5/8,nic ポストボックス＆PLUS10,nic（ニック社）,おもちゃ（木製）,ポストボックス（車付き・引っ張り紐はダイソー品に付け替え）＋PLUS10（ボロボロ・箱あり・サイコロ紐等パーツなし）,2点（セット）,4200,個人,メルカリ,m15557208625,,PLUS10は保管中（セット完成待ち）。同商品が安く出たら買い足してフルセット化して販売予定。ポストボックスは単品販売またはバトン市向け。
